Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
2031,Amsterdambrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,8.5,11,94,Amstelveenstraat_Gezondheidscentrum,52.3683154,5.2052011,5.5,,9,1.5,2300,318630A66AAC3498E0535B320A0A7C56,Den Uylpad,Woongebied,Stedenwijk,Almere Stad,142704.824,486790.051
2033,Plantsoenpoort,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,19,22.5,427.5,Tikkertjebrug,52.3699497,5.2049736,3.7,,14,2.5,2300,318630A66AC33498E0535B320A0A7C56,Stedendreef,Groengebieden/Parken,Stedenwijk,Almere Stad,142527.5354,486893.2327
2039,Baanbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,13,28,364,Olstbrug,43.6227748,-87.7945323,3,3.6,5.5,2.3,2300,318630A66AC53498E0535B320A0A7C56,Olstgracht,Groengebieden/Parken,Stedenwijk,Almere Stad,143207.981,486876.509
2042,Coevordenbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,5.5,10.5,58,Giethoornbrug,52.3697189,5.2127326,4.8,,10,2.1,2300,318630A66BB73498E0535B320A0A7C56,Kolkplein,Groengebieden/Parken,Stedenwijk,Almere Stad,143109.336,486957.721
2043,Delfzijlbrug,Verkeersbrug,Concrete,2. Good,1979,SB AIB,Gemeente Almere,Existing,5.5,10.5,58,Ter Apelbrug,52.373123,5.2154187,4.8,,10,1.7,2300,318630A66AC43498E0535B320A0A7C56,Delfzijlsingel,Groengebieden/Parken,Stedenwijk,Almere Stad,143189.24,487096.863
2044,Ter Apelbrug,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,5.5,10,55,Ter Apelbrug,52.373123,5.2154187,5,,10,1.3,2100,318630A66AAB3498E0535B320A0A7C56,Delfzijlsingel,Groengebieden/Parken,Stedenwijk,Almere Stad,143285.683,487254.022
2047,(fietsbrug Spoorbaanpad),Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,5.7,46.5,265.05,Stedendreef 1,52.372331,5.2021837,3.6,4.5,,,,318630A66B833498E0535B320A0A7C56,Stedendreef,Hoofdwegen,Muziekwijk,Almere Stad,142391.695,487147.219
2049,J.S.Bachbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,8.5,39,331.5,JS Bachbrug,42.1379851,-87.8405772,5,,13.5,2.3,2100,318630A66B2F3498E0535B320A0A7C56,J.S. Bachweg,Groengebieden/Parken,Muziekwijk,Almere Stad,142299.761,486787.989
2050,Vivaldibrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,5.5,39,214.5,JS Bachbrug,42.1379851,-87.8405772,5,,13.5,2.3,2100,318630A66B303498E0535B320A0A7C56,Tsjaikowskypad,Groengebieden/Parken,Muziekwijk,Almere Stad,142207.141,486721.224
2052,Mozartbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,9.5,39,370.5,Cesar Franckbrug,44.947125,-93.298676,5.5,,13.5,2.3,2100,318630A66B313498E0535B320A0A7C56,Mozartweg,Groengebieden/Parken,Muziekwijk,Almere Stad,142049.79,486603.5
2053,Cesar Franckbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,8,39,312,Cesar Franckbrug,44.947125,-93.298676,4.5,,13.5,2.3,2100,318630A66B323498E0535B320A0A7C56,Cesar Franckweg,Groengebieden/Parken,Muziekwijk,Almere Stad,141883.04,486479.678
2054,Strawinskybrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,5.5,39,214.5,Cesar Franckbrug,44.947125,-93.298676,5,,13.5,2.3,2100,318630A66B333498E0535B320A0A7C56,Strawinskypad,Groengebieden/Parken,Muziekwijk,Almere Stad,141815.35,486427.727
2055,H Andriessenbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,8,39,312,Hindemithbrug,,,4.2,,13.5,2.3,2100,318630A66B343498E0535B320A0A7C56,H. Andriessenweg,Groengebieden/Parken,Muziekwijk,Almere Stad,141757.519,486287.509
2056,Hindemitbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,5.5,39,214.5,Hindemithbrug,,,5,,13.5,2.3,2100,318630A66B353498E0535B320A0A7C56,Hindemithpad,Groengebieden/Parken,Muziekwijk,Almere Stad,141710.22,486149.558
2057,Schonbergbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,8,39,312,Hindemithbrug,,,4.2,,13.5,2.3,2100,318630A66B363498E0535B320A0A7C56,Schonbergweg,Groengebieden/Parken,Muziekwijk,Almere Stad,141695.635,486105.08
2058,J.Greshoffbrug,Verkeersbrug,Concrete,2. Good,1986,SB AIB,Gemeente Almere,Existing,8,36.6,232.8,Hindemithbrug,,,6,,13.5,3.3,2100,318630A66B373498E0535B320A0A7C56,Hollandsedreef,Groengebieden/Parken,Muziekwijk,Almere Stad,141649.225,485973.148
